signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S791,2022-07-27,False,EOD+,0.2,0.0086,8.31,1.0029
S792,2022-07-27,False,EOD+,0.1,0.0086,8.31,1.0029
S793,2022-07-27,False,EOD+,0.15,0.0086,8.31,1.0029
S794,2022-07-27,False,EOD-,-0.15,0.0086,8.31,1.0029
S795,2022-07-27,False,EOD-,-0.05,0.0086,8.31,1.0029
S796,2022-07-28,False,W,1.0125,0.0103,8.45,1.0366
S797,2022-07-28,False,W,0.8518,0.0103,8.45,1.0366
S798,2022-07-28,False,L,-0.4821,0.0103,8.45,1.0366
S799,2022-07-28,False,L,-0.5089,0.0103,8.45,1.0366
S800,2022-07-28,False,L,-0.5,0.0103,8.45,1.0366
S801,2022-07-29,False,EOD+,0.3,0.0181,9.12,1.0355
S802,2022-08-01,False,W,0.6911,0.0246,9.12,1.0024
S803,2022-08-01,False,W,0.6268,0.0246,9.12,1.0024
S804,2022-08-01,False,W,0.6268,0.0246,9.12,1.0024
S805,2022-08-01,False,EOD-,-0.05,0.0246,9.12,1.0024
S806,2022-08-01,False,EOD-,-0.15,0.0246,9.12,1.0024
S807,2022-08-02,False,W,2.4268,0.0307,9.07,0.9416
S808,2022-08-02,False,EOD+,2.25,0.0307,9.07,0.9416
S809,2022-08-02,False,W,1.2857,0.0307,9.07,0.9416
S810,2022-08-02,False,W,1.1571,0.0307,9.07,0.9416
S811,2022-08-02,False,W,1.4464,0.0307,9.07,0.9416
S812,2022-08-02,False,W,1.2375,0.0307,9.07,0.9416
S813,2022-08-03,False,L,-1.4107,0.0347,8.96,0.8556
S814,2022-08-03,False,L,-1.1339,0.0347,8.96,0.8556
S815,2022-08-03,False,W,1.3018,0.0347,8.96,0.8556
S816,2022-08-03,False,W,1.3982,0.0347,8.96,0.8556
S817,2022-08-04,False,L,-1.0268,0.0245,9.18,0.8679
S818,2022-08-04,False,L,-1.0893,0.0245,9.18,0.8679
S819,2022-08-04,False,L,-1.0714,0.0245,9.18,0.8679
S820,2022-08-04,False,L,-1.0179,0.0245,9.18,0.8679
S821,2022-08-05,False,W,1.35,0.0052,9.02,0.8731
S822,2022-08-05,False,W,1.3982,0.0052,9.02,0.8731
S823,2022-08-08,False,L,-1.75,0.0199,9.02,0.8946
S824,2022-08-08,False,L,-0.875,0.0199,9.02,0.8946
S825,2022-08-08,False,L,-0.6607,0.0199,9.02,0.8946
S826,2022-08-08,False,L,-0.5446,0.0199,9.02,0.8946
S827,2022-08-10,False,L,-1.2679,0.0233,9.3,0.8522
S828,2022-08-10,False,L,-1.1429,0.0233,9.3,0.8522
S829,2022-08-10,False,L,-0.9464,0.0233,9.3,0.8522
S830,2022-08-10,False,EOD+,1.05,0.0233,9.3,0.8522
S831,2022-08-10,False,EOD+,0.75,0.0233,9.3,0.8522
S832,2022-08-11,False,EOD-,-0.95,0.0233,8.86,0.8391
S833,2022-08-11,False,L,-0.7946,0.0233,8.86,0.8391
S834,2022-08-11,False,L,-0.8839,0.0233,8.86,0.8391
S835,2022-08-11,False,EOD+,0.25,0.0233,8.86,0.8391
S836,2022-08-11,False,EOD+,0.2,0.0233,8.86,0.8391
S837,2022-08-12,False,W,2.2821,0.0418,8.96,0.8488
S838,2022-08-12,True,W,1.1571,0.0418,8.96,0.8488
S839,2022-08-12,True,W,1.1732,0.0418,8.96,0.8488
S840,2022-08-12,False,W,0.9,0.0418,8.96,0.8488
S841,2022-08-12,False,W,0.9482,0.0418,8.96,0.8488
S842,2022-08-12,True,L,-0.5179,0.0418,8.96,0.8488
S843,2022-08-12,False,L,-0.4464,0.0418,8.96,0.8488
