symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
COALINDIA,Model B,test,SHORT baseline,925,160.86,1.214,-191.38,0.8
COALINDIA,Model B,test,SHORT gated,851,130.81,1.191,-191.51,0.78
COALINDIA,Model B,test,LONG baseline,940,-98.0,0.891,-453.3,0.599
COALINDIA,Model B,test,LONG gated,85,-27.82,0.735,-62.54,0.512
COALINDIA,Model B,test,COMBINED baseline,1865,62.86,1.038,-644.68,0.691
COALINDIA,Model B,test,COMBINED gated,936,102.99,1.13,-254.05,0.746
DABUR,Model A,train,SHORT baseline,2776,679.06,1.263,-513.72,0.843
DABUR,Model A,train,SHORT gated,850,250.07,1.317,-115.22,0.884
DABUR,Model A,train,LONG baseline,2852,-651.22,0.802,-1877.02,0.544
DABUR,Model A,train,LONG gated,1918,-240.02,0.885,-1061.22,0.598
DABUR,Model A,train,COMBINED baseline,5628,27.85,1.005,-2390.74,0.677
DABUR,Model A,train,COMBINED gated,2768,10.05,1.003,-1176.45,0.676
DABUR,Model A,test,SHORT baseline,928,-65.73,0.936,-582.75,0.57
DABUR,Model A,test,SHORT gated,253,45.59,1.16,-96.5,0.741
DABUR,Model A,test,LONG baseline,918,13.48,1.013,-498.54,0.625
DABUR,Model A,test,LONG gated,657,57.55,1.083,-308.07,0.662
DABUR,Model A,test,COMBINED baseline,1846,-52.24,0.974,-1081.28,0.597
DABUR,Model A,test,COMBINED gated,910,103.14,1.106,-404.56,0.685
DABUR,MA-alone,train,SHORT baseline,2743,660.55,1.258,-527.87,0.837
DABUR,MA-alone,train,SHORT gated,888,294.86,1.345,-100.18,0.907
DABUR,MA-alone,train,LONG baseline,2809,-637.9,0.804,-1854.96,0.545
DABUR,MA-alone,train,LONG gated,1911,-268.76,0.873,-1085.32,0.594
DABUR,MA-alone,train,COMBINED baseline,5552,22.65,1.004,-2382.83,0.675
DABUR,MA-alone,train,COMBINED gated,2799,26.1,1.009,-1185.51,0.684
DABUR,MA-alone,test,SHORT baseline,910,-65.6,0.935,-572.82,0.571
DABUR,MA-alone,test,SHORT gated,185,11.11,1.048,-98.47,0.672
DABUR,MA-alone,test,LONG baseline,906,18.23,1.018,-487.24,0.629
DABUR,MA-alone,test,LONG gated,710,36.86,1.049,-352.9,0.643
DABUR,MA-alone,test,COMBINED baseline,1816,-47.37,0.976,-1060.06,0.599
DABUR,MA-alone,test,COMBINED gated,895,47.97,1.049,-451.38,0.649
DABUR,Model B,train,SHORT baseline,2743,660.55,1.258,-527.87,0.837
DABUR,Model B,train,SHORT gated,921,368.48,1.441,-37.96,0.964
DABUR,Model B,train,LONG baseline,2809,-637.9,0.804,-1854.96,0.545
DABUR,Model B,train,LONG gated,1826,-247.87,0.876,-1030.68,0.593
DABUR,Model B,train,COMBINED baseline,5552,22.65,1.004,-2382.83,0.675
DABUR,Model B,train,COMBINED gated,2747,120.61,1.042,-1068.64,0.703
DABUR,Model B,test,SHORT baseline,910,-65.6,0.935,-572.82,0.571
DABUR,Model B,test,SHORT gated,236,18.32,1.063,-119.25,0.685
DABUR,Model B,test,LONG baseline,906,18.23,1.018,-487.24,0.629
DABUR,Model B,test,LONG gated,675,7.14,1.01,-364.21,0.618
DABUR,Model B,test,COMBINED baseline,1816,-47.37,0.976,-1060.06,0.599
DABUR,Model B,test,COMBINED gated,911,25.47,1.025,-483.45,0.637
DIVISLAB,Model A,train,SHORT baseline,2819,1756.95,1.109,-4380.38,0.779
DIVISLAB,Model A,train,SHORT gated,1153,1187.43,1.188,-1333.05,0.83
